,alarm,batV,device_id,latitude,longitude,pitch,raw,roll,time
0,False,3.574,firstone,,,-5.48,AAAAAAAADfb5PP3c,-17.32,2020-10-16T19:48:10.040935193Z
1,False,4.021,firstone,53.5778,8.3138,6.97,CCziAUTCD7X/qgK5,-0.86,2020-10-17T04:39:05.800845065Z
2,False,4.015,firstone,53.578,8.3133,7.0,CCzkAUS9D6//qAK8,-0.88,2020-10-17T04:42:43.814355462Z
3,False,4.015,firstone,53.5761,8.3144,7.02,CCzRAUTID6//pgK+,-0.9,2020-10-17T04:46:07.81233729Z
4,False,4.019,firstone,53.5768,8.3143,7.02,CCzYAUTHD7P/pgK+,-0.9,2020-10-17T04:49:33.803516885Z
5,False,4.015,firstone,53.5783,8.3127,7.04,CCznAUS3D6//pgLA,-0.9,2020-10-17T04:53:25.795691199Z
6,False,4.019,firstone,53.5782,8.3127,7.04,CCzmAUS3D7P/pQLA,-0.91,2020-10-17T04:56:55.826077948Z
7,False,4.019,firstone,53.5783,8.3124,7.04,CCznAUS0D7P/pQLA,-0.91,2020-10-17T05:01:16.811815707Z
8,False,4.015,firstone,53.5784,8.312,7.04,CCzoAUSwD6//pQLA,-0.91,2020-10-17T05:04:37.842060253Z
9,False,4.015,firstone,53.5799,8.3153,7.03,CCz3AUTRD6//pgK/,-0.9,2020-10-17T05:10:08.133476121Z
10,False,4.015,firstone,53.5769,8.3143,7.02,CCzZAUTHD6//pgK+,-0.9,2020-10-17T05:15:22.806528995Z
11,False,4.021,firstone,53.577,8.3138,7.03,CCzaAUTCD7X/pAK/,-0.92,2020-10-17T05:18:58.806374884Z
12,False,4.013,firstone,53.5768,8.315,7.04,CCzYAUTOD63/pQLA,-0.91,2020-10-17T05:22:36.820145917Z
13,False,4.019,firstone,53.5772,8.3136,7.05,CCzcAUTAD7P/pgLB,-0.9,2020-10-17T05:27:25.83082179Z
14,False,4.013,firstone,53.5771,8.314,7.04,CCzbAUTED63/pgLA,-0.9,2020-10-17T05:31:19.15878728Z
15,False,4.015,firstone,53.578,8.3115,7.04,CCzkAUSrD6//pQLA,-0.91,2020-10-17T05:34:43.156452765Z
16,False,4.023,firstone,,,7.04,AAAAAAAAD7f/pQLA,-0.91,2020-10-17T05:40:17.74682847Z
17,False,4.005,firstone,,,7.03,AAAAAAAAD6X/pgK/,-0.9,2020-10-17T05:45:52.571610405Z
18,False,4.015,firstone,53.5771,8.3138,7.04,CCzbAUTCD6//pQLA,-0.91,2020-10-17T05:49:12.82162281Z
19,False,4.026,firstone,53.5778,8.3121,7.04,CCziAUSxD7r/pQLA,-0.91,2020-10-17T05:52:37.806952551Z
20,False,4.021,firstone,,,7.02,AAAAAAAAD7X/pQK+,-0.91,2020-10-17T05:58:12.434467249Z
21,False,4.015,firstone,,,7.02,AAAAAAAAD6//pAK+,-0.92,2020-10-17T06:03:47.200002192Z
22,False,4.002,firstone,53.5777,8.3131,7.01,CCzhAUS7D6L/pAK9,-0.92,2020-10-17T06:08:00.227059686Z
23,False,4.015,firstone,53.5781,8.3129,7.02,CCzlAUS5D6//owK+,-0.93,2020-10-17T06:11:47.308724745Z
24,False,4.019,firstone,53.5776,8.3138,7.03,CCzgAUTCD7P/owK/,-0.93,2020-10-17T06:16:20.254489242Z
25,False,4.026,firstone,,,7.04,AAAAAAAAD7r/owLA,-0.93,2020-10-17T06:21:54.510945952Z
26,False,4.015,firstone,53.5772,8.314,7.04,CCzcAUTED6//pALA,-0.92,2020-10-17T06:25:49.832338188Z
27,False,4.013,firstone,53.577,8.3143,6.83,CCzaAUTHD60AQwKr,0.67,2020-10-17T06:29:36.232710786Z
28,False,4.021,firstone,,,6.81,AAAAAAAAD7UARAKp,0.68,2020-10-17T06:35:10.378392877Z
29,False,4.015,firstone,53.5769,8.3147,6.81,CCzZAUTLD68ARQKp,0.69,2020-10-17T06:39:13.815591828Z
30,False,4.021,firstone,,,6.82,AAAAAAAAD7UARQKq,0.69,2020-10-17T06:44:47.861717937Z
31,False,4.021,firstone,,,6.81,AAAAAAAAD7UARQKp,0.69,2020-10-17T06:50:22.548696804Z
32,False,4.019,firstone,,,6.82,AAAAAAAAD7MARQKq,0.69,2020-10-17T06:55:57.30469844Z
33,False,4.019,firstone,,,6.82,AAAAAAAAD7MARQKq,0.69,2020-10-17T07:01:31.961370089Z
34,False,4.019,firstone,53.5766,8.3151,6.83,CCzWAUTPD7MARAKr,0.68,2020-10-17T07:07:06.177439488Z
35,False,4.015,firstone,53.5769,8.3143,6.83,CCzZAUTHD68ARAKr,0.68,2020-10-17T07:12:20.2239966Z
36,False,4.021,firstone,,,6.83,AAAAAAAAD7UARQKr,0.69,2020-10-17T07:17:54.908856549Z
37,False,4.021,firstone,53.577,8.3141,6.83,CCzaAUTFD7UARAKr,0.68,2020-10-17T07:23:08.817435441Z
38,False,4.013,firstone,53.577,8.3142,6.84,CCzaAUTGD60AQwKs,0.67,2020-10-17T07:27:01.814229555Z
39,False,4.019,firstone,53.577,8.3142,6.85,CCzaAUTGD7MAQgKt,0.66,2020-10-17T07:30:25.224029762Z
40,False,4.015,firstone,53.5766,8.3142,6.86,CCzWAUTGD68AQQKu,0.65,2020-10-17T07:33:54.808631198Z
41,False,4.019,firstone,53.5769,8.3142,6.87,CCzZAUTGD7MAQAKv,0.64,2020-10-17T07:37:17.285559998Z
42,False,4.015,firstone,53.5773,8.3142,6.88,CCzdAUTGD68AQQKw,0.65,2020-10-17T07:40:43.827029933Z
43,False,4.015,firstone,53.577,8.3142,6.88,CCzaAUTGD68AQgKw,0.66,2020-10-17T07:45:07.817488174Z
44,False,4.013,firstone,53.5769,8.3141,6.87,CCzZAUTFD60AQgKv,0.66,2020-10-17T07:48:31.208142133Z
45,False,4.019,firstone,53.574,8.3126,6.87,CCy8AUS2D7MAQgKv,0.66,2020-10-17T07:52:13.831209424Z
